service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,reliability_percentage
2023-07-21,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.30232558139535
2023-07-20,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,45.97701149425287
2023-07-21,553,553,Express Bus,Other Bus,Bus,PEAK,55.26315789473685
2023-07-20,553,553,Express Bus,Other Bus,Bus,PEAK,50.0
2023-07-19,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,46.590909090909086
2023-07-19,553,553,Express Bus,Other Bus,Bus,PEAK,45.0
2023-07-18,553,553,Express Bus,Other Bus,Bus,PEAK,40.625
2023-07-18,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.666666666666664
2023-07-17,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.333333333333336
2023-07-17,553,553,Express Bus,Other Bus,Bus,PEAK,55.26315789473685
2023-07-14,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.55555555555556
2023-07-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,70.0
2023-07-14,553,553,Express Bus,Other Bus,Bus,PEAK,31.428571428571427
2023-07-13,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,57.971014492753625
2023-07-12,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,71.27659574468085
2023-07-13,553,553,Express Bus,Other Bus,Bus,PEAK,32.432432432432435
2023-07-12,553,553,Express Bus,Other Bus,Bus,PEAK,47.82608695652174
2023-07-11,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,49.46236559139785
2023-07-11,553,553,Express Bus,Other Bus,Bus,PEAK,36.84210526315789
2023-07-10,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-07-10,553,553,Express Bus,Other Bus,Bus,PEAK,47.05882352941176
2023-07-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.65573770491803
2023-07-07,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,61.111111111111114
2023-07-07,553,553,Express Bus,Other Bus,Bus,PEAK,66.66666666666666
2023-07-06,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-07-06,553,553,Express Bus,Other Bus,Bus,PEAK,42.857142857142854
2023-07-05,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,47.31182795698925
2023-07-05,553,553,Express Bus,Other Bus,Bus,PEAK,45.45454545454545
2023-07-03,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,47.77777777777778
2023-07-03,553,553,Express Bus,Other Bus,Bus,PEAK,38.63636363636363
2023-06-30,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,47.87234042553192
2023-06-30,553,553,Express Bus,Other Bus,Bus,PEAK,29.545454545454547
2023-07-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.724137931034484
2023-06-29,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.78260869565217
2023-06-29,553,553,Express Bus,Other Bus,Bus,PEAK,46.666666666666664
2023-06-28,553,553,Express Bus,Other Bus,Bus,PEAK,62.16216216216216
2023-06-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,52.68817204301075
2023-06-27,553,553,Express Bus,Other Bus,Bus,PEAK,63.1578947368421
2023-06-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.57446808510638
2023-06-26,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.08695652173913
2023-06-26,553,553,Express Bus,Other Bus,Bus,PEAK,71.7948717948718
2023-06-23,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,62.5
2023-06-23,553,553,Express Bus,Other Bus,Bus,PEAK,70.73170731707317
2023-06-24,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,54.23728813559322
2023-06-22,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,52.74725274725275
2023-06-22,553,553,Express Bus,Other Bus,Bus,PEAK,51.35135135135135
2023-06-21,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.78260869565217
2023-06-21,553,553,Express Bus,Other Bus,Bus,PEAK,55.00000000000001
2023-06-20,553,553,Express Bus,Other Bus,Bus,PEAK,54.761904761904766
2023-06-20,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,43.15789473684211
2023-06-19,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.333333333333336
2023-06-17,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,39.21568627450981
2023-06-19,553,553,Express Bus,Other Bus,Bus,PEAK,57.14285714285714
2023-06-16,553,553,Express Bus,Other Bus,Bus,PEAK,59.523809523809526
2023-06-16,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.61290322580645
2023-06-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.16326530612245
2023-06-15,553,553,Express Bus,Other Bus,Bus,PEAK,60.46511627906976
2023-06-14,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,35.63218390804598
2023-06-13,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,63.41463414634146
2023-06-14,553,553,Express Bus,Other Bus,Bus,PEAK,60.0
2023-06-13,553,553,Express Bus,Other Bus,Bus,PEAK,66.66666666666666
2023-06-12,553,553,Express Bus,Other Bus,Bus,PEAK,60.86956521739131
2023-06-12,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.12820512820513
2023-06-10,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.333333333333336
2023-06-09,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,62.10526315789474
2023-06-09,553,553,Express Bus,Other Bus,Bus,PEAK,59.523809523809526
2023-06-08,553,553,Express Bus,Other Bus,Bus,PEAK,45.23809523809524
2023-06-07,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.63291139240506
2023-06-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,54.25531914893617
2023-06-07,553,553,Express Bus,Other Bus,Bus,PEAK,68.96551724137932
2023-06-06,553,553,Express Bus,Other Bus,Bus,PEAK,69.76744186046511
2023-06-06,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,62.37623762376238
2023-06-05,553,553,Express Bus,Other Bus,Bus,PEAK,65.11627906976744
2023-06-05,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.183673469387756
2023-06-02,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.76344086021505
2023-06-03,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,63.63636363636363
2023-06-02,553,553,Express Bus,Other Bus,Bus,PEAK,71.42857142857143
2023-06-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.94736842105262
2023-06-01,553,553,Express Bus,Other Bus,Bus,PEAK,58.97435897435898
2023-05-31,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,61.29032258064516
2023-05-31,553,553,Express Bus,Other Bus,Bus,PEAK,57.89473684210527
2023-05-30,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,47.5609756097561
2023-05-30,553,553,Express Bus,Other Bus,Bus,PEAK,70.73170731707317
2023-05-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,79.66101694915254
2023-05-26,553,553,Express Bus,Other Bus,Bus,PEAK,66.66666666666666
2023-05-26,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.13978494623656
2023-05-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.91304347826087
2023-05-25,553,553,Express Bus,Other Bus,Bus,PEAK,67.3913043478261
2023-05-23,553,553,Express Bus,Other Bus,Bus,PEAK,55.55555555555556
2023-05-23,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.05194805194805
